# Mỗi dòng có dạng: u v

# 1) u < v (thương = 0)
1234567890123456789012345678901234567890 1234567890123456789012345678901234567891

# 2) u = v (thương = 1)
99999999999999999999999999999999999999999999 99999999999999999999999999999999999999999999

# 3) u = v + 1 (dư = 1)
100000000000000000000000000000000000000000000 99999999999999999999999999999999999999999999

# 4) all-9 chia all-9 (độ dài lệch 1)
999999999999999999999999999999999999999999999999999999999999 99999999999999999999999999999999999999999999999999999999999

# 5) số có nhiều zero chia số lớn gần biên
10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999

# 6) dividend lớn ngẫu nhiên / divisor lớn ngẫu nhiên
1234567890123456789012345678901234567890123456789012345678901234567890 3141592653589793238462643383279502884197169399375105820974944592

# 7) divisor gần bằng base^k
9876543210987654321098765432109876543210987654321098765432109876543210 1000000000000000000000000000000000000000000000000000000000000001

# 8) divisor có chữ số đầu nhỏ (đẩy khó cho normalize)
88888888888888888888888888888888888888888888888888888888888888888888 11111111111111111111111111111111111111111111111111111111111111111111

# 9) chuỗi lặp pattern dài
1010101010101010101010101010101010101010101010101010101010101010101010101010 90909090909090909090909090909090909090909090909090909090909090909090909

# 10) gần bội số nhưng lệch nhỏ
3141592653589793238462643383279502884197169399375105820974944592307816406 2718281828459045235360287471352662497757247093699959574966967627

# 11) very large random-like pair
765432109876543210987654321098765432109876543210987654321098765432109876543210 123456789123456789123456789123456789123456789123456789123456789123456789

# 12) power-of-10 minus 1 chia số không đều
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 1234567890123456789012345678901234567890

# 13) divisor dài gần bằng dividend
100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999

# 14) số cực lớn 2 vế
12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890 9876543210987654321098765432109876543210987654321098765432109876543210

# 15) edge: dividend có nhiều 0 ở giữa
100000000000000000001000000000000000000100000000000000000010000000000000000001 10000000000000000000000000000000000000001
